0 7323 160 2609 521 465 195 66 30 646 330 86 353 139 47 32 0 0 0 0 1 0 0 0 0 1 0 0 0 1 577 1 29 0 0 0 33 2 5 0 1 1 0 14 0 0 25 5 0 1 21 3 0 1 5 20 446 257 25 13 2 1 0 33 4 19 4 21 4 1 73 2 6 86 22 81 8 8 6 80 0 8 31 0 6 83 21 3 20 3 11 9 9 4 7 198 22 0 1 1060 5 3 18 2 10 19 4 10 9 16 3 35 12 24 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 0 0 0 3 0 5 9 3 0 0 0 0 0 2 0 0 3 0 0 0 0 1 0 0 1 4 3 4 0 1 0 1 0 0 0 0 0 0 0 0 5 0 1 0 0 0 0 0 3 1 2 0 0 0 1 0 0 0 1 0 0 14 12 9
7323 0 1637 5412 8224 550 7688 135 552 1618 1039 75 1492 1158 283 77 4 11 1 1 2 0 0 0 0 4 4 3 5 1 4406 11 80 0 0 0 65 14 5 5 0 13 6 60 1 13 373 36 3 14 113 5 0 7 11 161 1327 768 130 235 9 6 0 322 63 165 75 143 29 4 79 6 2 675 175 1110 56 57 26 168 9 37 270 7 53 544 120 7 132 9 100 34 24 35 27 161 15 0 2 1701 6 15 56 14 26 71 29 38 38 88 13 117 39 74 20 4 8 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 24 10 0 0 0 46 0 33 18 2 1 0 0 1 0 1 1 1 29 0 0 0 1 3 1 2 3 19 25 21 1 0 1 4 3 3 1 0 0 0 1 0 30 7 1 0 0 7 0 0 15 7 7 0 1 2 4 3 0 3 1 0 0 44 38 33
160 1637 0 41 1871 27 18 1451 41 26 1913 1 177 198 157 135 3 9 1 9 59 0 5 7 0 12 0 1 0 1 4566 585 83 12 1 12 80 38 4 9 8 12 9 24 5 6 82 2 0 4 85 2 0 4 2 11 228 227 13 27 44 58 5 253 7 59 45 99 63 58 48 9 0 63 23 166 29 45 666 1277 2 901 26 0 7 54 33 0 11 1 10 4 425 40 2 27 2 0 4 180 9 4 7 1 25 31 4 24 10 19 8 62 17 41 8 9 8 0 0 1 0 0 0 0 0 1 0 0 0 0 2 1 0 0 21 14 0 0 0 43 0 41 26 4 1 2 2 2 0 1 3 2 26 1 1 1 0 15 0 5 4 3 13 2 0 0 7 4 3 2 0 0 0 0 2 3 26 7 0 2 9 4 0 0 14 16 4 0 0 1 0 1 0 3 5 1 2 40 74 63
2609 5412 41 0 278 2310 2171 16 18 6243 66 541 1678 124 43 7 0 2 2 0 0 0 1 0 0 0 1 0 1 0 115 2 16 0 0 0 34 2 1 0 0 2 2 7 0 3 42 5 0 1 26 1 0 1 4 39 355 99 32 40 2 5 0 44 10 39 11 33 6 1 62 3 1 135 31 175 9 9 6 23 0 7 62 2 8 120 25 4 34 1 19 6 4 6 3 161 19 0 1 418 4 12 24 4 6 30 19 16 14 54 3 56 17 55 5 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 4 3 0 0 0 2 0 2 3 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 1 0 6 6 9 1 0 0 3 0 0 0 0 0 0 0 0 6 1 0 0 1 0 0 0 6 0 0 0 0 0 0 0 0 2 0 0 0 34 12 6
521 8224 1871 278 0 89 8058 180 8575 506 3449 27 2450 3887 247 50 3 8 1 2 0 0 0 0 6 4 3 1 1 0 886 6 57 0 1 1 41 4 4 4 0 7 1 31 1 4 251 17 1 5 55 2 0 7 2 45 363 200 60 168 6 4 0 178 25 70 37 65 13 3 20 4 0 276 69 726 57 59 18 81 10 32 97 1 21 202 78 2 44 2 47 18 14 17 17 39 3 0 0 180 12 8 30 7 43 112 6 40 20 47 16 171 39 118 22 19 7 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 39 22 0 1 0 49 1 60 35 3 0 0 0 2 0 0 0 5 35 1 1 0 1 2 0 3 0 13 36 10 0 0 7 2 3 0 0 0 0 0 0 1 42 3 1 0 1 9 1 1 20 14 13 1 0 2 0 1 1 1 0 1 0 75 60 46
465 550 27 2310 89 0 288 22 13 1730 49 292 953 74 35 25 1 0 0 0 0 0 0 0 0 0 0 0 0 0 77 1 24 0 0 0 32 3 8 4 0 0 0 5 0 0 28 1 0 0 5 69 5 3 3 32 233 33 30 3 1 0 0 6 1 6 2 2 2 0 175 108 46 9 4 17 3 5 2 27 0 0 3 15 1 65 2 79 106 140 33 114 3 5 36 927 207 4 13 434 0 0 5 1 4 20 3 6 10 18 2 25 7 25 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 2 5 2 0 0 1 0 0 0 2 16 1 0 1 0 0 0 0 0 0 2 0 0 0 6 1 0 0 6 1 7 1 0 0 0 1 0 0 0 0 0 0 1 1 4 8 1 0 4 0 0 0 0 0 0 1 0 1 5 1 3 10 2 0 0 17 6 5
195 7688 18 2171 8058 288 0 43 7452 3757 407 279 10200 3650 172 28 2 2 1 0 0 0 0 0 0 1 4 1 1 0 130 4 9 0 0 0 15 3 4 1 0 2 4 17 3 2 163 14 1 4 34 3 0 1 4 34 197 78 47 107 3 3 0 100 10 61 21 47 9 1 18 6 1 205 43 416 30 32 5 23 2 9 72 2 19 132 48 0 37 3 27 6 8 16 15 59 2 0 1 113 24 23 55 19 72 193 27 120 67 90 38 377 85 290 38 17 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 67 15 0 0 0 75 1 64 48 2 0 0 0 0 0 0 0 5 38 1 0 0 0 0 0 8 1 27 45 17 1 0 9 5 2 0 0 1 0 0 0 0 50 4 0 0 3 15 0 0 29 20 16 0 4 0 0 1 0 1 0 0 2 157 94 64
66 135 1451 16 180 22 43 0 151 15 4285 4 400 702 296 107 1 10 1 6 28 0 4 3 1 8 1 6 0 1 1038 907 91 3 1 8 75 25 8 13 0 12 5 42 2 8 196 7 1 17 95 2 1 3 1 14 174 174 32 100 47 38 2 227 3 53 42 78 58 47 21 2 1 156 60 697 78 137 1900 2015 4 871 38 0 9 82 47 0 21 1 26 11 297 32 11 15 3 0 3 91 6 2 1 1 13 32 1 6 3 11 5 46 12 46 8 11 6 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 23 6 0 0 0 30 0 23 24 3 3 2 0 0 1 0 1 4 19 0 1 0 0 11 2 5 0 5 15 4 0 0 0 2 0 1 0 0 0 1 1 3 14 3 0 2 1 3 0 0 14 6 5 0 0 2 2 0 0 1 4 2 3 39 30 27
30 552 41 18 8575 13 7452 151 0 222 3020 4 1975 6256 97 35 0 0 1 1 0 0 0 0 0 0 0 0 1 1 68 4 16 0 0 0 10 2 2 1 0 2 0 8 0 1 79 2 1 2 16 0 0 0 0 14 55 23 18 46 1 1 0 28 1 13 13 10 1 1 5 2 0 64 18 211 17 16 3 8 3 5 21 0 1 39 14 1 10 0 8 1 0 5 0 9 0 0 1 19 10 8 17 9 27 87 3 48 18 49 19 139 26 117 16 12 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 16 0 0 0 51 0 36 19 2 0 0 0 0 0 0 0 2 32 0 0 0 0 1 0 6 0 7 25 6 1 0 8 1 3 1 0 0 0 0 0 0 29 3 0 0 1 6 0 0 19 7 6 0 0 1 0 0 0 0 0 0 0 58 49 37
646 1618 26 6243 506 1730 3757 15 222 0 103 6032 16055 612 64 40 0 0 0 0 0 0 1 1 1 0 1 1 0 0 68 1 34 0 0 1 148 3 2 1 0 1 0 5 0 0 48 3 0 0 7 3 0 1 3 16 417 68 59 23 1 1 0 9 7 10 1 18 1 2 233 1 3 71 16 99 5 9 4 27 0 7 34 0 5 51 8 3 18 2 7 5 8 5 5 787 20 0 1 457 11 18 109 28 44 218 72 83 131 240 27 382 157 315 27 9 5 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 35 11 0 0 0 27 0 5 9 0 1 0 0 1 0 0 0 5 17 0 2 0 0 0 1 0 0 7 21 27 0 0 2 2 3 1 0 0 0 0 0 0 44 4 0 0 0 12 0 1 6 6 4 0 0 0 0 0 0 0 0 0 0 240 37 16
